image_name,top,bottom,left,right,center,center_clear,all_noise
01619.jpg,22.713658809661865,22.580339908599854,22.210497856140137,22.583515644073486,22.606120109558105,23.455946445465088,23.324508666992188
01995.jpg,22.95373916625977,22.286391258239743,22.914395332336422,22.19369888305664,22.656068801879883,23.649015426635746,23.2250714302063
00045.jpg,16.998162269592285,22.573013305664062,22.777528762817383,22.94734239578247,23.219690322875977,22.8545355796814,22.12937593460083
01581.jpg,21.89634799957276,22.64064311981201,22.46991872787476,22.09715366363525,22.69968748092652,22.018370628356934,21.8251633644104
00963.jpg,23.066272735595703,22.92041540145874,23.04037809371948,23.030829429626465,23.124167919158936,22.46662378311157,22.39065170288086
01456.jpg,22.10940361022949,21.83557510375977,22.18083381652832,21.62247896194458,22.07266092300415,22.001993656158447,21.387171745300293
01053.jpg,22.686896324157715,21.3518500328064,21.73689842224121,22.46215343475341,22.402033805847168,22.16513633728028,22.102606296539307
00523.jpg,20.52286148071289,20.124096870422363,20.04669189453125,20.268380641937256,20.46282529830933,20.809314250946045,20.68758726119995
00416.jpg,21.84875011444092,21.15875482559204,21.56242847442627,21.436870098114014,21.454405784606934,21.297736167907715,21.047918796539307
00766.jpg,22.6279091835022,22.271089553833008,22.69981622695923,22.104947566986084,23.09990882873535,22.488064765930176,22.26245164871216
00866.jpg,21.66266679763794,21.928927898406982,21.09058618545532,22.089145183563232,22.418665885925293,21.24797344207764,20.83037614822388
01526.jpg,22.131693363189697,21.1736273765564,21.63166046142578,21.71116352081299,21.6149640083313,21.8612003326416,21.454949378967285
00910.jpg,20.832061767578125,20.98992824554444,20.824413299560547,20.20357608795166,21.17199420928955,20.98742961883545,20.74287414550781
01823.jpg,21.258866786956787,20.885050296783447,21.83503150939941,20.983028411865234,21.796720027923584,20.9030818939209,20.56398630142212
01206.jpg,22.764525413513184,20.879838466644287,22.319200038909912,22.62352466583252,22.460389137268063,22.47980117797852,21.839935779571533
01074.jpg,21.26657247543335,20.688867568969727,21.26929759979248,20.716843605041504,21.547930240631104,20.87212085723877,20.75070142745972
00645.jpg,21.00507497787476,21.43464088439941,21.11788988113404,21.984002590179443,21.46061658859253,20.906665325164795,20.472912788391117
01593.jpg,21.64272785186768,21.57065868377685,20.646116733551025,20.86207389831543,21.03112936019897,21.02880477905273,20.373706817626957
01531.jpg,20.99403142929077,20.582284927368164,20.867786407470703,21.089859008789062,21.62990093231201,20.45356273651123,20.124428272247314
00740.jpg,18.156938552856445,20.670278072357178,21.577727794647217,21.79886579513549,21.60804033279419,21.159770488739014,21.009621620178223
01202.jpg,21.13574981689453,20.612010955810547,20.702145099639893,20.546624660491943,20.84446430206299,21.539876461029053,21.386678218841556
00934.jpg,21.20514869689941,21.148982048034668,21.048014163970947,21.885368824005127,21.408162117004395,20.88318109512329,20.262224674224854
01116.jpg,21.37720823287964,21.70266628265381,20.70798635482788,21.4441442489624,21.292729377746586,21.354422569274902,20.95242977142334
00618.jpg,20.91522216796875,21.12733125686645,21.080799102783203,21.045918464660645,20.80905199050904,21.129252910614014,20.607240200042725
00366.jpg,22.619383335113525,21.91499948501587,22.43279218673706,22.276153564453125,21.807539463043213,22.85284996032715,22.351090908050537
00259.jpg,21.30920886993408,21.45484209060669,19.53984498977661,22.114903926849365,21.59952163696289,22.18278169631958,21.80470943450928
01988.jpg,21.05900287628174,21.24394655227661,21.44551515579224,18.19658160209656,21.242353916168213,21.584720611572266,21.18536949157715
00220.jpg,20.94814777374268,21.21772527694702,20.632548332214355,21.629655361175537,22.01891183853149,21.039748191833496,20.670616626739506
00498.jpg,22.26426601409912,22.63744115829468,22.291975021362305,22.976200580596924,21.9397521018982,22.092432975769043,22.0099139213562
00341.jpg,20.9285831451416,21.555521488189697,21.06274366378784,20.79355239868164,21.61319255828857,21.13068580627441,20.73083877563477
